pathLength	endType	numberOfPause	stepsToFirstPause	pathString
8	good	1	2	[7, 55, 67, 105, 107, 64, 120, 10]
9	good	2	2	[7, 55, 67, 105, 107, 64, 120, 88, 56]
8	bad	3	2	[7, 55, 67, 105, 107, 64, 17, 36]
8	bad	2	2	[7, 55, 67, 105, 107, 64, 17, 81]
6	good	1	2	[7, 55, 67, 105, 107, 129]
10	good	2	2	[7, 55, 67, 105, 27, 153, 16, 145, 130, 100]
11	good	2	2	[7, 55, 67, 105, 27, 153, 16, 145, 130, 44, 100]
9	good	2	2	[7, 55, 67, 105, 27, 153, 16, 145, 100]
10	good	2	2	[7, 55, 67, 105, 27, 153, 16, 145, 44, 100]
9	good	2	2	[7, 55, 67, 105, 27, 153, 16, 130, 100]
10	good	2	2	[7, 55, 67, 105, 27, 153, 16, 130, 44, 100]
8	good	2	2	[7, 55, 67, 105, 27, 153, 16, 100]
9	good	2	2	[7, 55, 67, 105, 27, 153, 16, 44, 100]
9	good	2	2	[7, 55, 67, 105, 27, 153, 89, 19, 79]
10	good	3	2	[7, 55, 67, 105, 27, 153, 89, 37, 19, 79]
10	good	2	2	[7, 55, 67, 105, 27, 153, 89, 37, 134, 79]
9	good	1	2	[7, 55, 67, 105, 27, 153, 89, 134, 79]
16	good	3	2	[7, 55, 67, 105, 27, 14, 63, 157, 156, 41, 8, 76, 46, 85, 53, 91]
16	good	4	2	[7, 55, 67, 105, 27, 14, 63, 157, 156, 41, 8, 76, 46, 85, 53, 68]
14	bad	2	2	[7, 55, 67, 105, 27, 14, 63, 157, 156, 41, 8, 76, 46, 22]
14	bad	2	2	[7, 55, 67, 105, 27, 14, 63, 157, 156, 41, 8, 76, 82, 28]
13	bad	2	2	[7, 55, 67, 105, 27, 14, 63, 157, 156, 41, 8, 82, 28]
12	bad	2	2	[7, 55, 67, 105, 27, 14, 63, 157, 156, 41, 82, 28]
11	bad	2	2	[7, 55, 67, 105, 27, 14, 63, 157, 156, 82, 28]
16	good	3	2	[7, 55, 67, 105, 27, 14, 63, 151, 156, 41, 8, 76, 46, 85, 53, 91]
16	good	4	2	[7, 55, 67, 105, 27, 14, 63, 151, 156, 41, 8, 76, 46, 85, 53, 68]
14	bad	2	2	[7, 55, 67, 105, 27, 14, 63, 151, 156, 41, 8, 76, 46, 22]
14	bad	2	2	[7, 55, 67, 105, 27, 14, 63, 151, 156, 41, 8, 76, 82, 28]
13	bad	2	2	[7, 55, 67, 105, 27, 14, 63, 151, 156, 41, 8, 82, 28]
12	bad	2	2	[7, 55, 67, 105, 27, 14, 63, 151, 156, 41, 82, 28]
11	bad	2	2	[7, 55, 67, 105, 27, 14, 63, 151, 156, 82, 28]
9	good	1	2	[7, 55, 67, 105, 154, 9, 90, 147, 108]
10	good	1	2	[7, 55, 67, 105, 154, 9, 90, 147, 94, 108]
8	good	1	2	[7, 55, 67, 105, 154, 9, 90, 108]
9	good	1	2	[7, 55, 67, 105, 154, 9, 90, 94, 108]
10	good	1	2	[7, 55, 67, 105, 154, 9, 90, 94, 147, 108]
8	good	1	2	[7, 55, 67, 105, 154, 9, 127, 140]
7	bad	2	2	[7, 55, 67, 105, 154, 34, 47]
8	bad	2	2	[7, 55, 67, 105, 154, 34, 132, 47]
11	bad	2	2	[7, 55, 67, 105, 154, 34, 132, 159, 80, 104, 122]
19	good	6	2	[7, 55, 67, 105, 154, 34, 132, 159, 80, 104, 84, 29, 66, 99, 58, 112, 119, 144, 62]
19	good	6	2	[7, 55, 67, 105, 154, 34, 132, 159, 80, 104, 84, 29, 66, 99, 58, 112, 119, 72, 62]
22	good	6	2	[7, 55, 67, 105, 154, 34, 132, 159, 80, 104, 84, 29, 66, 99, 58, 149, 78, 155, 112, 119, 144, 62]
22	good	6	2	[7, 55, 67, 105, 154, 34, 132, 159, 80, 104, 84, 29, 66, 99, 58, 149, 78, 155, 112, 119, 72, 62]
20	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 159, 80, 104, 84, 29, 66, 99, 58, 149, 78, 155, 128, 92]
23	good	6	2	[7, 55, 67, 105, 154, 34, 132, 159, 80, 104, 84, 29, 66, 99, 58, 149, 78, 155, 128, 125, 119, 144, 62]
23	good	6	2	[7, 55, 67, 105, 154, 34, 132, 159, 80, 104, 84, 29, 66, 99, 58, 149, 78, 155, 128, 125, 119, 72, 62]
18	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 159, 80, 104, 84, 29, 66, 99, 58, 149, 78, 31]
17	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 159, 80, 104, 84, 29, 66, 99, 58, 149, 15]
17	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 159, 80, 104, 84, 29, 66, 99, 58, 128, 92]
20	good	6	2	[7, 55, 67, 105, 154, 34, 132, 159, 80, 104, 84, 29, 66, 99, 58, 128, 125, 119, 144, 62]
20	good	6	2	[7, 55, 67, 105, 154, 34, 132, 159, 80, 104, 84, 29, 66, 99, 58, 128, 125, 119, 72, 62]
19	good	6	2	[7, 55, 67, 105, 154, 34, 132, 159, 80, 104, 84, 29, 66, 139, 58, 112, 119, 144, 62]
19	good	6	2	[7, 55, 67, 105, 154, 34, 132, 159, 80, 104, 84, 29, 66, 139, 58, 112, 119, 72, 62]
22	good	6	2	[7, 55, 67, 105, 154, 34, 132, 159, 80, 104, 84, 29, 66, 139, 58, 149, 78, 155, 112, 119, 144, 62]
22	good	6	2	[7, 55, 67, 105, 154, 34, 132, 159, 80, 104, 84, 29, 66, 139, 58, 149, 78, 155, 112, 119, 72, 62]
20	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 159, 80, 104, 84, 29, 66, 139, 58, 149, 78, 155, 128, 92]
23	good	6	2	[7, 55, 67, 105, 154, 34, 132, 159, 80, 104, 84, 29, 66, 139, 58, 149, 78, 155, 128, 125, 119, 144, 62]
23	good	6	2	[7, 55, 67, 105, 154, 34, 132, 159, 80, 104, 84, 29, 66, 139, 58, 149, 78, 155, 128, 125, 119, 72, 62]
18	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 159, 80, 104, 84, 29, 66, 139, 58, 149, 78, 31]
17	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 159, 80, 104, 84, 29, 66, 139, 58, 149, 15]
17	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 159, 80, 104, 84, 29, 66, 139, 58, 128, 92]
20	good	6	2	[7, 55, 67, 105, 154, 34, 132, 159, 80, 104, 84, 29, 66, 139, 58, 128, 125, 119, 144, 62]
20	good	6	2	[7, 55, 67, 105, 154, 34, 132, 159, 80, 104, 84, 29, 66, 139, 58, 128, 125, 119, 72, 62]
19	good	6	2	[7, 55, 67, 105, 154, 34, 132, 159, 80, 104, 84, 29, 48, 69, 58, 112, 119, 144, 62]
19	good	6	2	[7, 55, 67, 105, 154, 34, 132, 159, 80, 104, 84, 29, 48, 69, 58, 112, 119, 72, 62]
22	good	6	2	[7, 55, 67, 105, 154, 34, 132, 159, 80, 104, 84, 29, 48, 69, 58, 149, 78, 155, 112, 119, 144, 62]
22	good	6	2	[7, 55, 67, 105, 154, 34, 132, 159, 80, 104, 84, 29, 48, 69, 58, 149, 78, 155, 112, 119, 72, 62]
20	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 159, 80, 104, 84, 29, 48, 69, 58, 149, 78, 155, 128, 92]
23	good	6	2	[7, 55, 67, 105, 154, 34, 132, 159, 80, 104, 84, 29, 48, 69, 58, 149, 78, 155, 128, 125, 119, 144, 62]
23	good	6	2	[7, 55, 67, 105, 154, 34, 132, 159, 80, 104, 84, 29, 48, 69, 58, 149, 78, 155, 128, 125, 119, 72, 62]
18	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 159, 80, 104, 84, 29, 48, 69, 58, 149, 78, 31]
17	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 159, 80, 104, 84, 29, 48, 69, 58, 149, 15]
17	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 159, 80, 104, 84, 29, 48, 69, 58, 128, 92]
20	good	6	2	[7, 55, 67, 105, 154, 34, 132, 159, 80, 104, 84, 29, 48, 69, 58, 128, 125, 119, 144, 62]
