node,attribute
10,good
14,pause
15,bad
18,bad
19,pause
20,pause
22,bad
23,good
28,bad
30,good
31,bad
32,pause
33,bad
35,pause
36,bad
39,good
40,pause
42,pause
44,pause
45,pause
47,bad
50,pause
51,good
54,good
56,good
57,bad
62,good
68,good
69,pause
70,pause
71,pause
74,bad
77,good
79,good
80,pause
81,bad
82,pause
85,pause
86,bad
91,good
92,bad
95,good
99,pause
100,good
103,good
108,good
109,pause
110,good
112,pause
114,bad
115,pause
118,bad
122,bad
123,pause
125,pause
126,good
127,pause
129,good
131,pause
134,pause
135,pause
137,bad
139,pause
140,good
143,bad
146,bad
151,pause
152,pause
157,pause
