pathLength	endType	numberOfPause	stepsToFirstPause	pathString
13	good	0	None	[6, 8, 12, 18, 26, 36, 48, 10, 16, 24, 34, 46, 52]
13	good	0	None	[6, 8, 12, 18, 26, 38, 48, 10, 16, 24, 34, 46, 52]
13	good	0	None	[6, 8, 12, 18, 28, 38, 48, 10, 16, 24, 34, 46, 52]
13	good	0	None	[6, 8, 12, 18, 28, 40, 48, 10, 16, 24, 34, 46, 52]
13	good	0	None	[6, 8, 12, 18, 28, 40, 50, 10, 16, 24, 34, 46, 52]
13	good	0	None	[6, 8, 12, 20, 28, 38, 48, 10, 16, 24, 34, 46, 52]
13	good	0	None	[6, 8, 12, 20, 28, 40, 48, 10, 16, 24, 34, 46, 52]
13	good	0	None	[6, 8, 12, 20, 28, 40, 50, 10, 16, 24, 34, 46, 52]
13	good	0	None	[6, 8, 12, 20, 30, 40, 48, 10, 16, 24, 34, 46, 52]
13	good	0	None	[6, 8, 12, 20, 30, 40, 50, 10, 16, 24, 34, 46, 52]
13	good	0	None	[6, 8, 12, 20, 30, 42, 50, 10, 16, 24, 34, 46, 52]
13	good	0	None	[6, 8, 14, 22, 30, 40, 48, 10, 16, 24, 34, 46, 52]
13	good	0	None	[6, 8, 14, 22, 30, 40, 50, 10, 16, 24, 34, 46, 52]
13	good	0	None	[6, 8, 14, 22, 30, 42, 50, 10, 16, 24, 34, 46, 52]
13	good	0	None	[6, 8, 14, 22, 32, 42, 50, 10, 16, 24, 34, 46, 52]
12	good	0	None	[6, 8, 14, 22, 32, 44, 10, 16, 24, 34, 46, 52]
13	good	0	None	[6, 8, 14, 20, 28, 38, 48, 10, 16, 24, 34, 46, 52]
13	good	0	None	[6, 8, 14, 20, 28, 40, 48, 10, 16, 24, 34, 46, 52]
13	good	0	None	[6, 8, 14, 20, 28, 40, 50, 10, 16, 24, 34, 46, 52]
13	good	0	None	[6, 8, 14, 20, 30, 40, 48, 10, 16, 24, 34, 46, 52]
13	good	0	None	[6, 8, 14, 20, 30, 40, 50, 10, 16, 24, 34, 46, 52]
13	good	0	None	[6, 8, 14, 20, 30, 42, 50, 10, 16, 24, 34, 46, 52]
7	good	0	None	[6, 10, 16, 24, 34, 46, 52]
